Packet ID                             Action          Delay(in Sec)       Starting Time    Current_time(in Sec)    Switch 1 Queue Length    Switch 2 Queue Length
------------------------------------  --------------  ------------------  ---------------  ----------------------  -----------------------  -----------------------
episode = 0
c512f266-d69e-4926-9e32-0a50f77df2bd  sw2 to es3      10.0 (Agent)        45.0             17                      27                       0
8437715f-1017-4de2-a17d-67e7bcf3521b  es1 to switch1  1.1111111111111112  41               45.555555555555586      28                       0
f7e2c6f3-b729-4829-ac50-5caa4cf7b711  es1 to switch1  1.1111111111111112  42               46.6666666666667        29                       0
c7a147fe-2786-4276-b13d-014f788f0467  es2 to switch2  2.5                 19               47.5                    30                       0
03a9927b-7024-46b4-8965-208bbc7caa3b  sw2 to sw1      1.25 (Agent)        18               47.5                    30                       0
18263464-a4f3-4c65-9787-790f9c0a2a75  es2 to switch2  2.5                 20               50.0                    30                       0
89a5a75f-25ad-40f1-a946-a69d51f38209  es2 to switch2  2.5                 21               52.5                    30                       1
c559b24a-898d-4358-a56f-41f53e22f046  es2 to switch2  2.5                 22               55.0                    30                       2
e79ec245-fdb3-4d0a-9b83-a45bb44b45f5  es2 to switch2  2.5                 23               57.5                    30                       3
a4d9f98b-45d9-4a45-b818-a56b484a3f57  es2 to switch2  2.5                 24               60.0                    30                       4
32dc1f4a-db9c-4f9c-aa01-e8efeebda5dc  es2 to switch2  2.5                 25               62.5                    30                       5
e310dc86-86f6-46b3-9353-a90db1170c52  es2 to switch2  2.5                 26               65.0                    30                       6
94f1628b-088a-45ea-9abd-eacbc10840b9  es2 to switch2  2.5                 27               67.5                    30                       7
544b6197-8347-4b32-963a-75202b4b2bcb  es2 to switch2  2.5                 28               70.0                    30                       8
a6fa6362-093e-423c-bfbb-af2936b7b619  es2 to switch2  2.5                 29               72.5                    30                       9
1aa88e3b-9a7f-48e7-ac3e-fd396928177e  es2 to switch2  2.5                 30               75.0                    30                       10
7784fa36-b22b-420a-92f9-c5260fafc9c0  es2 to switch2  2.5                 31               77.5                    30                       11
b738ab5d-cbd3-4512-9edb-bb914651b84c  es2 to switch2  2.5                 32               80.0                    30                       12
